epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0774,1.45616,2.66252,1.34448,0.18801,0.3354,0.20992,0.12267,1.48179,2.18054,1.33923,0.000415152,0.000415152,0.000415152
2,90.3887,1.49537,2.15473,1.37149,0.26773,0.28131,0.23913,0.14071,1.44412,1.90124,1.34105,0.000818093,0.000818093,0.000818093
3,129.91,1.49615,1.96793,1.37553,0.62404,0.28871,0.28508,0.16899,1.44225,1.66174,1.30471,0.00120728,0.00120728,0.00120728
4,168.905,1.48879,1.86922,1.37038,0.30173,0.3178,0.29386,0.1733,1.48008,1.78593,1.33772,0.00118812,0.00118812,0.00118812
5,208.029,1.46526,1.77044,1.35131,0.39256,0.35566,0.33694,0.20481,1.46141,1.67041,1.34219,0.0011675,0.0011675,0.0011675
6,247.364,1.44647,1.71378,1.34227,0.25415,0.34451,0.28708,0.17198,1.44987,1.78799,1.30315,0.00114688,0.00114688,0.00114688
7,288.837,1.43052,1.66348,1.32418,0.34242,0.40529,0.36627,0.22534,1.40682,1.47512,1.30288,0.00112625,0.00112625,0.00112625
8,330.25,1.40873,1.61366,1.31389,0.34679,0.33719,0.36023,0.21999,1.42173,1.50501,1.33618,0.00110563,0.00110563,0.00110563
9,371.569,1.39321,1.57327,1.30823,0.36787,0.39419,0.35633,0.22026,1.41927,1.56062,1.29683,0.001085,0.001085,0.001085
10,412.972,1.37313,1.51104,1.30046,0.34805,0.3703,0.33621,0.2017,1.45722,1.63815,1.3173,0.00106437,0.00106437,0.00106437
11,453.121,1.35698,1.50596,1.28609,0.38463,0.38171,0.38308,0.24845,1.37755,1.55265,1.29111,0.00104375,0.00104375,0.00104375
12,492.577,1.34251,1.46281,1.27355,0.41602,0.35118,0.36366,0.23491,1.34579,1.4006,1.25045,0.00102312,0.00102312,0.00102312
13,531.865,1.34006,1.42281,1.26997,0.32964,0.37757,0.3479,0.21117,1.39865,1.50797,1.30565,0.0010025,0.0010025,0.0010025
14,571.4,1.31301,1.39728,1.26129,0.50362,0.34734,0.38789,0.2357,1.3665,1.42972,1.27701,0.000981875,0.000981875,0.000981875
15,612.573,1.32344,1.36478,1.26057,0.49208,0.46281,0.44356,0.27477,1.38309,1.38682,1.28562,0.00096125,0.00096125,0.00096125
16,652.888,1.31415,1.35148,1.25372,0.4779,0.41703,0.45398,0.28896,1.35246,1.35444,1.26172,0.000940625,0.000940625,0.000940625
17,692.757,1.31563,1.33662,1.2562,0.41954,0.43702,0.41743,0.27308,1.36588,1.44082,1.27586,0.00092,0.00092,0.00092
18,734.468,1.26319,1.26635,1.22574,0.49716,0.50109,0.47037,0.29675,1.38255,1.23917,1.2714,0.000899375,0.000899375,0.000899375
19,776.747,1.27969,1.27864,1.24357,0.48604,0.44397,0.4346,0.27593,1.32786,1.37664,1.2389,0.00087875,0.00087875,0.00087875
20,817.489,1.28635,1.26563,1.23406,0.48052,0.46066,0.46514,0.29617,1.34974,1.25054,1.24119,0.000858125,0.000858125,0.000858125
21,857.173,1.25077,1.21629,1.21819,0.55398,0.44142,0.46959,0.30056,1.33734,1.30645,1.25037,0.0008375,0.0008375,0.0008375
22,896.708,1.27072,1.2068,1.22811,0.43959,0.45866,0.43604,0.27866,1.35536,1.28603,1.24676,0.000816875,0.000816875,0.000816875
