epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7052,1.45367,2.95901,1.41831,0.46919,0.21686,0.21521,0.1269,1.47185,2.23721,1.37019,0.00332121,0.00332121,0.00332121
2,74.4819,1.44035,2.28685,1.33607,0.44437,0.34903,0.22993,0.13366,1.41261,2.39114,1.28519,0.00662161,0.00662161,0.00662161
3,115.13,1.49545,2.22579,1.35932,0.20739,0.26593,0.17797,0.10128,1.65368,2.33652,1.48441,0.009889,0.009889,0.009889
4,155.48,1.56259,2.19177,1.40964,0.22,0.28706,0.20095,0.11474,1.6033,2.01818,1.42003,0.0098515,0.0098515,0.0098515
5,192.629,1.54328,2.04024,1.39409,0.49656,0.28884,0.22376,0.12649,1.58583,1.96841,1.4219,0.009802,0.009802,0.009802
6,224.51,1.52627,1.94993,1.39262,0.32572,0.29655,0.25775,0.15075,1.4931,1.81092,1.32466,0.0097525,0.0097525,0.0097525
7,256.139,1.5092,1.86396,1.37484,0.51015,0.25922,0.25019,0.15063,1.47583,1.78787,1.35212,0.009703,0.009703,0.009703
8,293.391,1.48542,1.80098,1.35024,0.32833,0.34477,0.2947,0.17916,1.45655,1.62167,1.32252,0.0096535,0.0096535,0.0096535
9,329.464,1.46306,1.77354,1.35442,0.35189,0.38089,0.33556,0.21277,1.42113,1.61708,1.32156,0.009604,0.009604,0.009604
10,363.674,1.44984,1.70736,1.34444,0.28467,0.38005,0.31054,0.18103,1.49979,1.76491,1.35704,0.0095545,0.0095545,0.0095545
11,397.413,1.42465,1.67818,1.33331,0.37995,0.3532,0.34994,0.216,1.41771,1.56379,1.32283,0.009505,0.009505,0.009505
12,438.113,1.42024,1.63096,1.3284,0.42015,0.39815,0.36994,0.23391,1.37332,1.4684,1.29541,0.0094555,0.0094555,0.0094555
13,477.981,1.40833,1.58914,1.3194,0.32929,0.38232,0.34016,0.19627,1.45498,1.82207,1.37185,0.009406,0.009406,0.009406
14,518.424,1.3923,1.56355,1.3105,0.42859,0.37248,0.3934,0.2372,1.37223,1.44081,1.27133,0.0093565,0.0093565,0.0093565
